1.33715,0,0.01,0.16
1.33727,1,0.01,0.21
1.33663,0,0.01,0.11
1.33711,1,0.01,0.12
1.33709,1,0.01,0.13
1.33703,1,0.01,0.17
1.33682,0,0.01,0.19
1.33689,0,0.01,0.12
1.33742,0,0.1,1.05
1.33734,1,0.01,0.13
1.33724,1,0.01,0.11
1.3372600000000001,1,0.01,0.11
1.33716,0,0.01,0.12
1.33725,1,0.01,0.13
1.33685,0,0.01,0.11
1.33709,0,0.01,0.17
1.33734,1,0.01,0.13
1.33722,1,0.01,0.15
1.33697,1,0.01,0.12
1.3367,0,0.01,0.13
1.33689,0,0.01,0.11
1.33712,1,0.01,0.12
1.337,1,0.01,0.15
1.33685,1,0.01,0.13
1.33692,1,0.01,0.21
1.33663,0,0.01,0.11
1.3367200000000001,0,0.01,0.17
1.3368,0,0.01,0.11
